시점,시도별,지출목적별,데이터
2022.01,인천광역시,0 총지수,105.24
2022.01,광주광역시,0 총지수,104.83
2022.01,대전광역시,0 총지수,104.65
2022.01,울산광역시,0 총지수,104.86
2022.01,세종특별자치시,0 총지수,105.01
2022.01,경기도,0 총지수,104.88
2022.01,강원특별자치도,0 총지수,105.6
2022.01,충청북도,0 총지수,105.02
2022.01,충청남도,0 총지수,105.61
2022.01,전라북도,0 총지수,104.88
2022.01,전라남도,0 총지수,105.14
2022.01,경상북도,0 총지수,105.42
2022.01,경상남도,0 총지수,105.21
2022.01,제주특별자치도,0 총지수,105.7
2022.02,전국,0 총지수,105.42
2022.02,서울특별시,0 총지수,104.7
2022.02,부산광역시,0 총지수,105.23
2022.02,대구광역시,0 총지수,105.79
2022.02,인천광역시,0 총지수,105.87
2022.02,광주광역시,0 총지수,105.24
2022.02,대전광역시,0 총지수,105.29
2022.02,울산광역시,0 총지수,105.23
2022.02,세종특별자치시,0 총지수,105.46
2022.02,경기도,0 총지수,105.41
2022.02,강원특별자치도,0 총지수,106.18
2022.02,충청북도,0 총지수,105.76
2022.02,충청남도,0 총지수,106.3
2022.02,전라북도,0 총지수,105.45
2022.02,전라남도,0 총지수,105.74
2022.02,경상북도,0 총지수,105.98
2022.02,경상남도,0 총지수,105.76
2022.02,제주특별자치도,0 총지수,106.21
2022.03,전국,0 총지수,106.1
2022.03,서울특별시,0 총지수,105.09
2022.03,부산광역시,0 총지수,105.85
2022.03,대구광역시,0 총지수,106.44
2022.03,인천광역시,0 총지수,106.25
2022.03,광주광역시,0 총지수,106.11
2022.03,대전광역시,0 총지수,106.04
2022.03,울산광역시,0 총지수,105.92
2022.03,세종특별자치시,0 총지수,106.64
2022.03,경기도,0 총지수,106.14
2022.03,강원특별자치도,0 총지수,107.11
2022.03,충청북도,0 총지수,106.76
2022.03,충청남도,0 총지수,107.14
2022.03,전라북도,0 총지수,106.37
2022.03,전라남도,0 총지수,106.67
2022.03,경상북도,0 총지수,106.99
2022.03,경상남도,0 총지수,106.49
2022.03,제주특별자치도,0 총지수,106.87
2022.04,전국,0 총지수,106.83
2022.04,서울특별시,0 총지수,105.73
2022.04,부산광역시,0 총지수,106.44
2022.04,대구광역시,0 총지수,107.09
2022.04,인천광역시,0 총지수,107.03
2022.04,광주광역시,0 총지수,106.9
2022.04,대전광역시,0 총지수,106.64
2022.04,울산광역시,0 총지수,106.72
2022.04,세종특별자치시,0 총지수,107.42
2022.04,경기도,0 총지수,106.86
2022.04,강원특별자치도,0 총지수,108.18
2022.04,충청북도,0 총지수,107.6
2022.04,충청남도,0 총지수,107.84
2022.04,전라북도,0 총지수,107.21
2022.04,전라남도,0 총지수,107.62
2022.04,경상북도,0 총지수,107.92
2022.04,경상남도,0 총지수,107.21
2022.04,제주특별자치도,0 총지수,107.74
2022.05,전국,0 총지수,107.5
2022.05,서울특별시,0 총지수,106.29
2022.05,부산광역시,0 총지수,107.05
2022.05,대구광역시,0 총지수,107.75
2022.05,인천광역시,0 총지수,107.71
2022.05,광주광역시,0 총지수,107.86
2022.05,대전광역시,0 총지수,107.3
2022.05,울산광역시,0 총지수,107.38
2022.05,세종특별자치시,0 총지수,108.32
2022.05,경기도,0 총지수,107.55
2022.05,강원특별자치도,0 총지수,108.96
2022.05,충청북도,0 총지수,108.41
2022.05,충청남도,0 총지수,108.39
2022.05,전라북도,0 총지수,107.96
2022.05,전라남도,0 총지수,108.44
2022.05,경상북도,0 총지수,108.62
2022.05,경상남도,0 총지수,107.85
2022.05,제주특별자치도,0 총지수,108.51
2022.06,전국,0 총지수,108.21
2022.06,서울특별시,0 총지수,106.85
2022.06,부산광역시,0 총지수,107.78
2022.06,대구광역시,0 총지수,108.28
2022.06,인천광역시,0 총지수,108.44
2022.06,광주광역시,0 총지수,108.54
