지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm)
100,대관령,2020-12,-5.4,-.4,-10.1,4.2
100,대관령,2021-01,-7.3,-1.8,-13,7.8
100,대관령,2021-02,-2,3.8,-8.1,2.2
100,대관령,2021-03,3,9.2,-2.9,86.2
100,대관령,2021-04,7.5,13.5,1.1,98.4
100,대관령,2021-05,11.8,17.3,6.2,154
100,대관령,2021-06,16.8,21.7,12.5,78.6
100,대관령,2021-07,21.4,26.4,17.1,124.8
100,대관령,2021-08,19.6,23.6,16.8,217.2
100,대관령,2021-09,15.7,19.8,12.2,153.9
100,대관령,2021-10,9.7,15.8,4.8,65.2
100,대관령,2021-11,2.7,8.7,-2.6,32.6
100,대관령,2021-12,-3.9,1.3,-9,6.4
100,대관령,2022-01,-6.9,-.7,-13.4,1.3
100,대관령,2022-02,-6.4,-.6,-11.8,2.2
100,대관령,2022-03,2.2,8,-3.3,76.6
100,대관령,2022-04,9.2,15.3,2.6,43.5
100,대관령,2022-05,13.4,20,6.1,9.3
100,대관령,2022-06,17.2,21.8,13,245.2
100,대관령,2022-07,21.3,26.1,17.8,173.3
100,대관령,2022-08,20.6,24.3,17.2,415.6
100,대관령,2022-09,15.2,21.2,10.3,206.5
100,대관령,2022-10,8.2,14.1,3.1,145.4
100,대관령,2022-11,4.5,11.7,-2.1,40
100,대관령,2022-12,-7.8,-2.4,-12.9,2.3
100,대관령,2023-01,-6.3,-.9,-12.4,27
100,대관령,2023-02,-3.2,2.3,-9.4,3.5
100,대관령,2023-03,4.4,11.2,-2.7,17.8
100,대관령,2023-04,8.1,14.3,1.8,54.5
100,대관령,2023-05,13.5,19.7,6.4,92.5
100,대관령,2023-06,17.9,23.4,13.1,194.3
100,대관령,2023-07,21.9,26.7,18.2,181.9
100,대관령,2023-08,21.4,25.7,18.1,303.8
100,대관령,2023-09,17,21.6,13.4,190.2
100,대관령,2023-10,9,15.9,2.7,31.2
100,대관령,2023-11,2.7,8,-2.7,39.9
100,대관령,2023-12,-4.1,.5,-8.7,155.2
100,대관령,2024-01,-5.7,-1.1,-10.7,16.8
100,대관령,2024-02,-2.9,1.2,-7.7,119.6
100,대관령,2024-03,.4,5.8,-5.5,52.7
100,대관령,2024-04,9.6,16.2,3.3,53.9
100,대관령,2024-05,13.2,19.9,5.9,64.9
100,대관령,2024-06,18.6,24.8,12.3,110.9
100,대관령,2024-07,22,25.5,19.2,211.6
100,대관령,2024-08,22.8,27.8,18.7,95.2
100,대관령,2024-09,18.5,23.4,14.7,249
100,대관령,2024-10,10.2,16.1,5.1,163.6
100,대관령,2024-11,4.1,9.7,-1.2,29.3
100,대관령,2024-12,-4.3,0,-8.9,2.2
101,춘천,2020-01,-.1,5.7,-4.6,80
101,춘천,2020-02,1.4,7.2,-3.8,54.2
101,춘천,2020-03,7,13.9,.1,13.8
101,춘천,2020-04,10.5,17.5,3.2,14.4
101,춘천,2020-05,18.1,23.8,12.9,118.3
101,춘천,2020-06,24.2,29.8,19.2,75.8
101,춘천,2020-07,23.8,28.1,20.1,174.3
101,춘천,2020-08,26.1,29.5,23.6,773.7
101,춘천,2020-09,19.7,24.8,15.8,157.2
101,춘천,2020-10,11.9,19.4,6.2,.1
101,춘천,2020-11,6.1,12.6,.8,84.2
101,춘천,2020-12,-2.7,3.8,-7.9,4.9
101,춘천,2021-01,-4.7,1.5,-10.5,17.7
