업체명,모델명,연료,변속형식,차량형식,자동차 종류,표시연비,도심주행연비,고속도로연비,CO2배출량(g/km),1회충전주행거리(km),배기량,등급,출시연도,예상 연간유류비
현대,스타리아 2.2디젤 4WD 11인 17인치 (빌트인캠),경유,자동,내연기관,승합차,10.3,9.4,11.6,190,,2199,4등급,2021,2188383
현대,스타리아 2.2디젤 4WD 11인 18인치,경유,자동,내연기관,승합차,10.3,9.4,11.6,190,,2199,4등급,2021,2188383
현대,스타리아 2.2디젤 4WD 9인 17인치,경유,자동,내연기관,승용차,10.3,9.2,12,189,,2199,4등급,2021,2188383
현대,스타리아 2.2디젤 4WD 9인 17인치 (빌트인캠),경유,자동,내연기관,승용차,10.3,9.2,12,189,,2199,4등급,2021,2188383
현대,스타리아 2.2디젤 4WD 9인 18인치,경유,자동,내연기관,승용차,10.3,9.2,12,189,,2199,4등급,2021,2188383
현대,스타리아 2.2디젤 4WD 9인 18인치 (빌트인캠),경유,자동,내연기관,승용차,10.3,9.2,12,189,,2199,4등급,2021,2188383
현대,스타리아 라운지 2.2디젤 4WD 7인 18인치,경유,자동,내연기관,승용차,10.3,9.2,12,189,,2199,4등급,2021,2188383
현대,스타리아 라운지 2.2디젤 4WD 7인 18인치 (빌트인캠),경유,자동,내연기관,승용차,10.3,9.2,12,189,,2199,4등급,2021,2188383
현대,스타리아 라운지 2.2디젤 4WD 9인 18인치,경유,자동,내연기관,승용차,10.3,9.2,12,189,,2199,4등급,2021,2188383
현대,아이오닉5 항속형 RWD 19인치,전기,없음,전기,승용차,5.1,5.9,4.5,,429,,2등급,2021,1129147
케이지모빌리티,코란도 e-motion 2WD Heat Pump,전기,없음,전기,승용차,4.9,5.4,4.4,,307,,3등급,2021,1175235
페라리,페라리 Portofino M,휘발유,자동,내연기관,승용차,7.6,6.5,9.8,231,,3855,5등급,2021,3250086
현대,스타리아 2.2디젤 2WD  6MT 11인 17인치,경유,수동,내연기관,승합차,11.8,11,13,163,,2199,3등급,2021,1910199
현대,스타리아 2.2디젤 2WD 11인 17인치 (빌트인캠),경유,자동,내연기관,승합차,10.8,9.8,12.5,179,,2199,4등급,2021,2087069
현대,스타리아 2.2디젤 2WD 11인 18인치 (빌트인캠),경유,자동,내연기관,승합차,10.8,9.7,12.4,180,,2199,4등급,2021,2087069
현대,스타리아 2.2디젤 2WD 9인 18인치 (빌트인캠),경유,자동,내연기관,승용차,11,10.1,12.5,175,,2199,4등급,2021,2049123
현대,스타리아 2.2디젤 2WD 9인 17인치,경유,자동,내연기관,승용차,11.3,10.3,12.9,171,,2199,4등급,2021,1994721
현대,스타리아 라운지 2.2디젤 2WD 9인 18인치,경유,자동,내연기관,승용차,10.8,9.8,12.2,179,,2199,4등급,2021,2087069
현대,스타리아 라운지 2.2디젤 2WD 9인 18인치 (빌트인캠),경유,자동,내연기관,승용차,10.8,9.8,12.2,180,,2199,4등급,2021,2087069
현대,스타리아 2.2디젤 4WD 11인 18인치 (빌트인캠),경유,자동,내연기관,승합차,10.3,9.4,11.6,190,,2199,4등급,2021,2188383
현대,스타리아 라운지 2.2디젤 4WD 9인 18인치 (빌트인캠),경유,자동,내연기관,승용차,10.3,9.2,12,189,,2199,4등급,2021,2188383
