년도,월,지역,차종,용도,전기차 등록수,전기차 순증가량,연료소비효율,1회충전주행거리,배터리충전용량,완속충전기_신규설치,급속충전기_신규설치,전체충전기_신규설치,완속충전기_누적대수,급속충전기_누적대수,전체충전기_누적대수,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증,휘발유차_등록수,휘발유차_순증가량,경유차_등록수,경유차_순증가량,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),미세먼지2.5 수치,미세먼지10 수치,cpi,실업률,평균기준금리,경상소득,보조금,민간공고대수,출고대수,출고잔여대수,휘발유가격,디젤가격
2020,1,세종,승용,사업용,2,0,4.741666666666666,399.3611111111111,227.88888888888889,101.0,15.0,116.0,193.0,40.0,233.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.1,7.1,-1.7,81.3,31.0,47.0,100.2,3.0,1.25,7457,1220.0,100.0,100.0,0.0,1569.23,1402.9
2020,1,세종,화물,계,0,0,2.725,149.25,202.5,101.0,15.0,116.0,193.0,40.0,233.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.1,7.1,-1.7,81.3,31.0,47.0,100.2,3.0,1.25,7457,0.0,,,,1569.23,1402.9
2020,1,세종,화물,비사업용,0,0,2.725,149.25,202.5,101.0,15.0,116.0,193.0,40.0,233.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.1,7.1,-1.7,81.3,31.0,47.0,100.2,3.0,1.25,7457,0.0,,,,1569.23,1402.9
2020,1,세종,화물,사업용,0,0,2.725,149.25,202.5,101.0,15.0,116.0,193.0,40.0,233.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,2.1,7.1,-1.7,81.3,31.0,47.0,100.2,3.0,1.25,7457,0.0,,,,1569.23,1402.9
2020,1,울산,승용,계,1441,-6,4.741666666666666,399.3611111111111,227.88888888888889,209.0,57.0,266.0,404.0,132.0,536.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,5.2,9.5,1.8,178.7,19.0,30.0,100.18,5.0,1.25,6524,1420.0,641.0,647.0,0.0,1555.26,1391.32
2020,1,울산,승용,비사업용,1224,-6,4.741666666666666,399.3611111111111,227.88888888888889,209.0,57.0,266.0,404.0,132.0,536.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,5.2,9.5,1.8,178.7,19.0,30.0,100.18,5.0,1.25,6524,1420.0,641.0,647.0,0.0,1555.26,1391.32
2020,1,울산,승용,사업용,217,0,4.741666666666666,399.3611111111111,227.88888888888889,209.0,57.0,266.0,404.0,132.0,536.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,5.2,9.5,1.8,178.7,19.0,30.0,100.18,5.0,1.25,6524,1420.0,641.0,647.0,0.0,1555.26,1391.32
2020,1,울산,화물,계,0,0,2.725,149.25,202.5,209.0,57.0,266.0,404.0,132.0,536.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,5.2,9.5,1.8,178.7,19.0,30.0,100.18,5.0,1.25,6524,2400.0,163.0,170.0,0.0,1555.26,1391.32
2020,1,울산,화물,비사업용,0,0,2.725,149.25,202.5,209.0,57.0,266.0,404.0,132.0,536.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,5.2,9.5,1.8,178.7,19.0,30.0,100.18,5.0,1.25,6524,2400.0,163.0,170.0,0.0,1555.26,1391.32
2020,1,울산,화물,사업용,0,0,2.725,149.25,202.5,209.0,57.0,266.0,404.0,132.0,536.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,5.2,9.5,1.8,178.7,19.0,30.0,100.18,5.0,1.25,6524,2400.0,163.0,170.0,0.0,1555.26,1391.32
