년도,월,지역,차종,용도,연료,등록수,순증가량
2020,02,대구,소계,사업용,하이브리드,243,13
2020,02,대구,승용,계,하이브리드,26642,217
2020,02,대구,승용,비사업용,하이브리드,26412,204
2020,02,대구,승용,사업용,하이브리드,230,13
2020,02,대구,승합,계,하이브리드,14,0
2020,02,대구,승합,비사업용,하이브리드,1,0
2020,02,대구,승합,사업용,하이브리드,13,0
2020,02,대구,특수,계,하이브리드,0,0
2020,02,대구,특수,비사업용,하이브리드,0,0
2020,02,대구,특수,사업용,하이브리드,0,0
2020,02,대구,화물,계,하이브리드,0,0
2020,02,대구,화물,비사업용,하이브리드,0,0
2020,02,대구,화물,사업용,하이브리드,0,0
2020,02,대전,소계,계,하이브리드,13278,110
2020,02,대전,소계,비사업용,하이브리드,13237,113
2020,02,대전,소계,사업용,하이브리드,41,-3
2020,02,대전,승용,계,하이브리드,13278,110
2020,02,대전,승용,비사업용,하이브리드,13237,113
2020,02,대전,승용,사업용,하이브리드,41,-3
2020,02,대전,승합,계,하이브리드,0,0
2020,02,대전,승합,비사업용,하이브리드,0,0
2020,02,대전,승합,사업용,하이브리드,0,0
2020,02,대전,특수,계,하이브리드,0,0
2020,02,대전,특수,비사업용,하이브리드,0,0
2020,02,대전,특수,사업용,하이브리드,0,0
2020,02,대전,화물,계,하이브리드,0,0
2020,02,대전,화물,비사업용,하이브리드,0,0
2020,02,대전,화물,사업용,하이브리드,0,0
2020,02,부산,소계,계,하이브리드,29037,341
2020,02,부산,소계,비사업용,하이브리드,27515,201
2020,02,부산,소계,사업용,하이브리드,1522,140
2020,02,부산,승용,계,하이브리드,29034,341
2020,02,부산,승용,비사업용,하이브리드,27514,201
2020,02,부산,승용,사업용,하이브리드,1520,140
2020,02,부산,승합,계,하이브리드,3,0
2020,02,부산,승합,비사업용,하이브리드,1,0
2020,02,부산,승합,사업용,하이브리드,2,0
2020,02,부산,특수,계,하이브리드,0,0
2020,02,부산,특수,비사업용,하이브리드,0,0
2020,02,부산,특수,사업용,하이브리드,0,0
2020,02,부산,화물,계,하이브리드,0,0
2020,02,부산,화물,비사업용,하이브리드,0,0
2020,02,부산,화물,사업용,하이브리드,0,0
2020,02,서울,소계,계,하이브리드,93330,654
2020,02,서울,소계,비사업용,하이브리드,87473,622
2020,02,서울,소계,사업용,하이브리드,5857,32
2020,02,서울,승용,계,하이브리드,93278,654
2020,02,서울,승용,비사업용,하이브리드,87472,622
2020,02,서울,승용,사업용,하이브리드,5806,32
2020,02,서울,승합,계,하이브리드,52,0
2020,02,서울,승합,비사업용,하이브리드,1,0
2020,02,서울,승합,사업용,하이브리드,51,0
2020,02,서울,특수,계,하이브리드,0,0
2020,02,서울,특수,비사업용,하이브리드,0,0
2020,02,서울,특수,사업용,하이브리드,0,0
2020,02,서울,화물,계,하이브리드,0,0
2020,02,서울,화물,비사업용,하이브리드,0,0
2020,02,서울,화물,사업용,하이브리드,0,0
2020,02,세종,소계,계,하이브리드,5689,67
2020,02,세종,소계,비사업용,하이브리드,5660,67
2020,02,세종,소계,사업용,하이브리드,29,0
2020,02,세종,승용,계,하이브리드,5662,67
2020,02,세종,승용,비사업용,하이브리드,5659,67
2020,02,세종,승용,사업용,하이브리드,3,0
2020,02,세종,승합,계,하이브리드,27,0
2020,02,세종,승합,비사업용,하이브리드,1,0
2020,02,세종,승합,사업용,하이브리드,26,0
2020,02,세종,특수,계,하이브리드,0,0
2020,02,세종,특수,비사업용,하이브리드,0,0
2020,02,세종,특수,사업용,하이브리드,0,0
2020,02,세종,화물,계,하이브리드,0,0
2020,02,세종,화물,비사업용,하이브리드,0,0
2020,02,세종,화물,사업용,하이브리드,0,0
2020,02,울산,소계,계,하이브리드,10662,64
2020,02,울산,소계,비사업용,하이브리드,10590,64
2020,02,울산,소계,사업용,하이브리드,72,0
2020,02,울산,승용,계,하이브리드,10616,64
2020,02,울산,승용,비사업용,하이브리드,10590,64
2020,02,울산,승용,사업용,하이브리드,26,0
2020,02,울산,승합,계,하이브리드,46,0
2020,02,울산,승합,비사업용,하이브리드,0,0
2020,02,울산,승합,사업용,하이브리드,46,0
2020,02,울산,특수,계,하이브리드,0,0
2020,02,울산,특수,비사업용,하이브리드,0,0
2020,02,울산,특수,사업용,하이브리드,0,0
2020,02,울산,화물,계,하이브리드,0,0
2020,02,울산,화물,비사업용,하이브리드,0,0
2020,02,울산,화물,사업용,하이브리드,0,0
2020,02,인천,소계,계,하이브리드,41310,440
2020,02,인천,소계,비사업용,하이브리드,30210,194
2020,02,인천,소계,사업용,하이브리드,11100,246
2020,02,인천,승용,계,하이브리드,41267,440
2020,02,인천,승용,비사업용,하이브리드,30210,194
2020,02,인천,승용,사업용,하이브리드,11057,246
2020,02,인천,승합,계,하이브리드,43,0
2020,02,인천,승합,비사업용,하이브리드,0,0
2020,02,인천,승합,사업용,하이브리드,43,0
2020,02,인천,특수,계,하이브리드,0,0
2020,02,인천,특수,비사업용,하이브리드,0,0
2020,02,인천,특수,사업용,하이브리드,0,0
2020,02,인천,화물,계,하이브리드,0,0
2020,02,인천,화물,비사업용,하이브리드,0,0
2020,02,인천,화물,사업용,하이브리드,0,0
2020,02,전국,소계,계,하이브리드,518220,4751
2020,02,전국,소계,비사업용,하이브리드,489259,3886
2020,02,전국,소계,사업용,하이브리드,28961,865
2020,02,전국,승용,계,하이브리드,517884,4751
2020,02,전국,승용,비사업용,하이브리드,489254,3886
2020,02,전국,승용,사업용,하이브리드,28630,865
2020,02,전국,승합,계,하이브리드,336,0
2020,02,전국,승합,비사업용,하이브리드,5,0
2020,02,전국,승합,사업용,하이브리드,331,0
2020,02,전국,특수,계,하이브리드,0,0
2020,02,전국,특수,비사업용,하이브리드,0,0
2020,02,전국,특수,사업용,하이브리드,0,0
2020,02,전국,화물,계,하이브리드,0,0
2020,02,전국,화물,비사업용,하이브리드,0,0
2020,02,전국,화물,사업용,하이브리드,0,0
2020,02,전남,소계,계,하이브리드,15743,298
2020,02,전남,소계,비사업용,하이브리드,14381,81
2020,02,전남,소계,사업용,하이브리드,1362,217
2020,02,전남,승용,계,하이브리드,15743,298
2020,02,전남,승용,비사업용,하이브리드,14381,81
2020,02,전남,승용,사업용,하이브리드,1362,217
2020,02,전남,승합,계,하이브리드,0,0
2020,02,전남,승합,비사업용,하이브리드,0,0
2020,02,전남,승합,사업용,하이브리드,0,0
2020,02,전남,특수,계,하이브리드,0,0
2020,02,전남,특수,비사업용,하이브리드,0,0
2020,02,전남,특수,사업용,하이브리드,0,0
2020,02,전남,화물,계,하이브리드,0,0
2020,02,전남,화물,비사업용,하이브리드,0,0
2020,02,전남,화물,사업용,하이브리드,0,0
2020,02,전북,소계,계,하이브리드,15123,107
2020,02,전북,소계,비사업용,하이브리드,14900,106
2020,02,전북,소계,사업용,하이브리드,223,1
2020,02,전북,승용,계,하이브리드,15114,107
2020,02,전북,승용,비사업용,하이브리드,14900,106
2020,02,전북,승용,사업용,하이브리드,214,1
2020,02,전북,승합,계,하이브리드,9,0
2020,02,전북,승합,비사업용,하이브리드,0,0
2020,02,전북,승합,사업용,하이브리드,9,0
2020,02,전북,특수,계,하이브리드,0,0
2020,02,전북,특수,비사업용,하이브리드,0,0
2020,02,전북,특수,사업용,하이브리드,0,0
2020,02,전북,화물,계,하이브리드,0,0
2020,02,전북,화물,비사업용,하이브리드,0,0
2020,02,전북,화물,사업용,하이브리드,0,0
2020,02,제주,소계,계,하이브리드,12892,218
2020,02,제주,소계,비사업용,하이브리드,6294,70
2020,02,제주,소계,사업용,하이브리드,6598,148
2020,02,제주,승용,계,하이브리드,12892,218
2020,02,제주,승용,비사업용,하이브리드,6294,70
2020,02,제주,승용,사업용,하이브리드,6598,148
2020,02,제주,승합,계,하이브리드,0,0
2020,02,제주,승합,비사업용,하이브리드,0,0
2020,02,제주,승합,사업용,하이브리드,0,0
2020,02,제주,특수,계,하이브리드,0,0
2020,02,제주,특수,비사업용,하이브리드,0,0
2020,02,제주,특수,사업용,하이브리드,0,0
