년도,월,차종,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증,휘발유차_등록수,휘발유차_순증가량,경유차_등록수,경유차_순증가량
2023,12,승용,85560808,125324,134364,564,6166988,143188,49111808,26824,21941892,-64888
2023,12,승합,2778296,-5296,2604,276,1164,-4,28816,72,2288804,-7152
2023,12,특수,552100,2936,0,0,4,0,840,24,494580,2212
2023,12,화물,14905600,1936,64,8,372,0,115280,424,13275380,-10920
2024,01,소계,103970960,174156,137072,40,6344580,176052,49319084,62340,37921400,-79256
2024,01,승용,85718164,157356,134348,-16,6343048,176060,49173468,61660,21880460,-61432
2024,01,승합,2771652,-6644,2660,56,1152,-12,28760,-56,2282372,-6432
2024,01,특수,554848,2748,0,0,4,0,856,16,496824,2244
2024,01,화물,14926296,20696,64,0,376,4,116000,720,13261744,-13636
2024,02,소계,104078188,107228,138140,1068,6479704,135124,49355960,36876,37841312,-80088
2024,02,승용,85817352,99188,135320,972,6478176,135128,49209404,35936,21824496,-55964
2024,02,승합,2765724,-5928,2756,96,1144,-8,28800,40,2276344,-6028
2024,02,특수,557008,2160,0,0,4,0,868,12,498580,1756
2024,02,화물,14938104,11808,64,0,380,4,116888,888,13241892,-19852
2024,03,소계,104217464,139276,139488,1348,6636672,156968,49402408,46448,37684144,-157168
2024,03,승용,85969548,152196,136548,1228,6634600,156424,49255024,45620,21733120,-91376
2024,03,승합,2751720,-14004,2864,108,1124,-20,28732,-68,2262452,-13892
2024,03,특수,559028,2020,4,4,4,0,880,12,500068,1488
2024,03,화물,14937168,-936,72,8,944,564,117772,884,13188504,-53388
2024,04,소계,104281432,63968,140648,1160,6792812,156140,49461096,58688,37475460,-208684
2024,04,승용,86076368,106820,137532,984,6788008,153408,49313300,58276,21614596,-118524
2024,04,승합,2735580,-16140,3028,164,2060,936,28720,-12,2245024,-17428
2024,04,특수,560696,1668,8,4,24,20,888,8,501048,980
2024,04,화물,14908788,-28380,80,8,2720,1776,118188,416,13114792,-73712
2024,05,소계,104385640,104208,142168,1520,6941640,148828,49511484,50388,37312528,-162932
2024,05,승용,86202652,126284,138692,1160,6935024,147016,49363096,49796,21518516,-96080
2024,05,승합,2722776,-12804,3388,360,3044,984,28704,-16,2231940,-13084
2024,05,특수,562584,1888,8,0,52,28,904,16,502220,1172
2024,05,화물,14897628,-11160,80,0,3520,800,118780,592,13059852,-54940
2024,06,소계,104537900,152260,143948,1780,7083772,142132,49561700,50216,37198092,-114436
2024,06,승용,86359088,156436,139892,1200,7074716,139692,49412688,49592,21450040,-68476
2024,06,승합,2715096,-7680,3960,572,4008,964,28692,-12,2222880,-9060
2024,06,특수,564564,1980,8,0,72,20,924,20,503532,1312
2024,06,화물,14899152,1524,88,8,4976,1456,119396,616,13021640,-38212
2024,07,소계,104652648,114748,145576,1628,7228796,145024,49602384,40684,37061724,-136368
