년도,월,지역,연료,차종,용도,등록수,순증가량
2020,02,서울,총계,승용,계,2671522,-2391
2020,02,서울,총계,승용,비사업용,2545443,-1413
2020,02,서울,총계,승용,사업용,126079,-978
2020,02,서울,총계,승합,계,113364,-641
2020,02,서울,총계,승합,비사업용,95883,-557
2020,02,서울,총계,승합,사업용,17481,-84
2020,02,서울,총계,특수,계,8346,67
2020,02,서울,총계,특수,비사업용,3366,51
2020,02,서울,총계,특수,사업용,4980,16
2020,02,서울,총계,화물,계,330752,-617
2020,02,서울,총계,화물,비사업용,272979,-571
2020,02,서울,총계,화물,사업용,57773,-46
2020,02,세종,총계,소계,계,165486,987
2020,02,세종,총계,소계,비사업용,162691,989
2020,02,세종,총계,소계,사업용,2795,-2
2020,02,세종,총계,승용,계,144252,936
2020,02,세종,총계,승용,비사업용,143640,933
2020,02,세종,총계,승용,사업용,612,3
2020,02,세종,총계,승합,계,4471,8
2020,02,세종,총계,승합,비사업용,4042,12
2020,02,세종,총계,승합,사업용,429,-4
2020,02,세종,총계,특수,계,378,1
2020,02,세종,총계,특수,비사업용,218,1
2020,02,세종,총계,특수,사업용,160,0
2020,02,세종,총계,화물,계,16385,42
2020,02,세종,총계,화물,비사업용,14791,43
2020,02,세종,총계,화물,사업용,1594,-1
2020,02,울산,총계,소계,계,566679,84
2020,02,울산,총계,소계,비사업용,545313,78
2020,02,울산,총계,소계,사업용,21366,6
2020,02,울산,총계,승용,계,477325,12
2020,02,울산,총계,승용,비사업용,469378,19
2020,02,울산,총계,승용,사업용,7947,-7
2020,02,울산,총계,승합,계,15009,-22
2020,02,울산,총계,승합,비사업용,13023,-22
2020,02,울산,총계,승합,사업용,1986,0
2020,02,울산,총계,특수,계,2778,16
2020,02,울산,총계,특수,비사업용,646,11
2020,02,울산,총계,특수,사업용,2132,5
2020,02,울산,총계,화물,계,71567,78
2020,02,울산,총계,화물,비사업용,62266,70
2020,02,울산,총계,화물,사업용,9301,8
2020,02,인천,총계,소계,계,1635589,-1851
2020,02,인천,총계,소계,비사업용,1291359,-398
2020,02,인천,총계,소계,사업용,344230,-1453
2020,02,인천,총계,승용,계,1384589,-1387
2020,02,인천,총계,승용,비사업용,1088392,24
2020,02,인천,총계,승용,사업용,296197,-1411
2020,02,인천,총계,승합,계,51319,-264
2020,02,인천,총계,승합,비사업용,38996,-182
2020,02,인천,총계,승합,사업용,12323,-82
2020,02,인천,총계,특수,계,7142,7
2020,02,인천,총계,특수,비사업용,1952,-1
2020,02,인천,총계,특수,사업용,5190,8
2020,02,인천,총계,화물,계,192539,-207
2020,02,인천,총계,화물,비사업용,162019,-239
2020,02,인천,총계,화물,사업용,30520,32
2020,02,전국,총계,소계,계,23743391,13105
2020,02,전국,총계,소계,비사업용,22056847,12757
2020,02,전국,총계,소계,사업용,1686544,348
2020,02,전국,총계,승용,계,19237830,13568
2020,02,전국,총계,승용,비사업용,18156822,13317
2020,02,전국,총계,승용,사업용,1081008,251
2020,02,전국,총계,승합,계,808378,-2391
2020,02,전국,총계,승합,비사업용,683328,-2094
2020,02,전국,총계,승합,사업용,125050,-297
2020,02,전국,총계,특수,계,96504,526
2020,02,전국,총계,특수,비사업용,33558,348
2020,02,전국,총계,특수,사업용,62946,178
2020,02,전국,총계,화물,계,3600679,1402
2020,02,전국,총계,화물,비사업용,3183139,1186
2020,02,전국,총계,화물,사업용,417540,216
2020,02,전남,총계,소계,계,1061661,882
2020,02,전남,총계,소계,비사업용,926014,1147
2020,02,전남,총계,소계,사업용,135647,-265
2020,02,전남,총계,승용,계,771582,516
2020,02,전남,총계,승용,비사업용,668549,767
2020,02,전남,총계,승용,사업용,103033,-251
2020,02,전남,총계,승합,계,39878,-53
2020,02,전남,총계,승합,비사업용,32040,-14
2020,02,전남,총계,승합,사업용,7838,-39
2020,02,전남,총계,특수,계,7068,16
2020,02,전남,총계,특수,비사업용,2346,16
2020,02,전남,총계,특수,사업용,4722,0
2020,02,전남,총계,화물,계,243133,403
2020,02,전남,총계,화물,비사업용,223079,378
2020,02,전남,총계,화물,사업용,20054,25
2020,02,전북,총계,소계,계,932211,980
2020,02,전북,총계,소계,비사업용,891489,1117
2020,02,전북,총계,소계,사업용,40722,-137
2020,02,전북,총계,승용,계,707683,462
2020,02,전북,총계,승용,비사업용,688590,636
2020,02,전북,총계,승용,사업용,19093,-174
2020,02,전북,총계,승합,계,33233,14
2020,02,전북,총계,승합,비사업용,28992,7
2020,02,전북,총계,승합,사업용,4241,7
2020,02,전북,총계,특수,계,3903,57
2020,02,전북,총계,특수,비사업용,1747,38
2020,02,전북,총계,특수,사업용,2156,19
2020,02,전북,총계,화물,계,187392,447
2020,02,전북,총계,화물,비사업용,172160,436
2020,02,전북,총계,화물,사업용,15232,11
2020,02,제주,총계,소계,계,602132,2200
2020,02,제주,총계,소계,비사업용,370013,552
2020,02,제주,총계,소계,사업용,232119,1648
2020,02,제주,총계,승용,계,500959,2100
2020,02,제주,총계,승용,비사업용,280832,403
2020,02,제주,총계,승용,사업용,220127,1697
2020,02,제주,총계,승합,계,19654,-93
2020,02,제주,총계,승합,비사업용,11954,-41
2020,02,제주,총계,승합,사업용,7700,-52
2020,02,제주,총계,특수,계,1370,13
2020,02,제주,총계,특수,비사업용,729,15
2020,02,제주,총계,특수,사업용,641,-2
2020,02,제주,총계,화물,계,80149,180
2020,02,제주,총계,화물,비사업용,76498,175
2020,02,제주,총계,화물,사업용,3651,5
2020,02,충남,총계,소계,계,1123220,1871
2020,02,충남,총계,소계,비사업용,1084107,1902
2020,02,충남,총계,소계,사업용,39113,-31
2020,02,충남,총계,승용,계,852535,1297
2020,02,충남,총계,승용,비사업용,839182,1334
2020,02,충남,총계,승용,사업용,13353,-37
2020,02,충남,총계,승합,계,42426,0
2020,02,충남,총계,승합,비사업용,36998,18
2020,02,충남,총계,승합,사업용,5428,-18
2020,02,충남,총계,특수,계,4899,26
2020,02,충남,총계,특수,비사업용,1980,13
2020,02,충남,총계,특수,사업용,2919,13
2020,02,충남,총계,화물,계,223360,548
2020,02,충남,총계,화물,비사업용,205947,537
2020,02,충남,총계,화물,사업용,17413,11
2020,02,충북,총계,소계,계,840706,1515
2020,02,충북,총계,소계,비사업용,805211,1654
2020,02,충북,총계,소계,사업용,35495,-139
2020,02,충북,총계,승용,계,648060,1157
2020,02,충북,총계,승용,비사업용,633187,1304
2020,02,충북,총계,승용,사업용,14873,-147
2020,02,충북,총계,승합,계,30199,-36
2020,02,충북,총계,승합,비사업용,26332,-37
2020,02,충북,총계,승합,사업용,3867,1
2020,02,충북,총계,특수,계,4137,31
