연월,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2021-08-01,4.474308755760369,281.7826420890937,152.8947004608295,2.672727272727273,176.0,180.0,4.898703873869517,386.0934371523915,153.2483242249843
2021-09-01,4.57327977977978,292.4922922922923,151.3001111111111,2.626262626262626,173.46666666666667,179.53333333333333,4.8265944170771755,378.19750410509033,154.05404269293925
2021-10-01,4.717777777777778,318.8888888888889,142.02666666666667,2.4666666666666663,156.0,173.0,4.76,379.9428571428571,145.69142857142856
2021-11-01,4.761741079494128,330.4358683378501,142.74774796747968,2.344444444444444,133.26666666666668,162.73333333333332,4.738492063492063,378.25,147.75555555555553
2021-12-01,4.685416666666666,332.8125,151.98333333333335,2.3,125.0,159.0,4.630952380952381,369.7857142857143,158.0761904761905
2022-01-01,4.622144901144642,337.512170069207,157.38430536973726,2.3,125.0,159.0,4.570967741935484,369.8110599078341,163.49297235023042
2022-02-01,4.57258064516129,343.19354838709677,159.86612903225813,2.3,125.0,159.0,4.546428571428572,369.82142857142856,165.70892857142857
2022-03-01,4.5168625653584105,343.48843436490034,163.4173324719547,2.531397849462366,154.34193548387097,169.68387096774194,4.546305912960869,369.15325193702586,167.67957849055318
2022-04-01,4.485172839506173,344.32007201646087,160.31946347736627,2.9125555555555556,164.4966666666667,160.0488888888889,4.586301369863013,364.041095890411,161.24520547945204
2022-05-01,4.469513537370945,339.83670047394395,159.2782181951711,2.983333333333333,163.5,157.33333333333334,4.5798544703157535,361.56160531513666,160.36085261501597
2022-06-01,4.4161458710066315,338.41851115129595,159.82150572634117,2.983333333333333,163.5,157.33333333333334,4.533568075117372,358.17791936806026,160.82973694015948
2022-07-01,4.280979689366785,330.9653683791318,169.76576821983272,3.1955453149001536,168.52380952380952,152.63133640552994,4.397619047619049,353.83492063492065,173.29905273937527
2022-08-01,4.2809276772562175,335.81637997629707,172.82803011328465,3.211111111111111,168.22222222222223,152.5,4.416309843830005,362.58833525345625,177.16335285458268
2022-09-01,4.352277288788296,336.9595785291704,169.7583295204855,3.1701010101010096,169.68747474747477,154.98999999999998,4.493883028598217,365.1019280356306,173.3061445147679
2022-10-01,4.376076850094877,331.7411290322581,174.40660945316543,3.2,175.1,157.35,4.508430107526882,361.0762365591398,178.79441935483868
2022-11-01,4.36792695473251,334.0892489711934,175.91726056864945,3.2,175.1,157.35,4.497973856209151,363.64640522875817,180.53838235294114
2022-12-01,4.342560559624609,337.7377495541357,179.446162969889,3.2267990074441686,171.1940446650124,154.6667493796526,4.500729052232098,373.74583042045344,185.8548511934485
2023-01-01,4.3360966863814765,334.36717216209195,179.6247238063465,3.2608767576509505,176.19387923904054,153.95955334987593,4.54085478167574,375.53598081014644,186.91301214409583
2023-02-01,4.323772657871041,334.6172238969581,182.39786781114202,3.266666666666666,177.26666666666668,153.9,4.531139346764347,375.8677884615385,190.23435592185595
2023-03-01,4.291690066916263,334.7636403438739,186.40946115188652,3.3008105872622004,178.17088502894956,153.1665012406948,4.481111319982288,375.87726186597155,195.47392669457184
2023-04-01,4.2254121948035,334.34610053531793,196.90009037733387,3.2911355311355304,178.8212454212454,154.3047619047619,4.404896421845575,377.7391713747646,209.05376647834277
2023-05-01,4.200528112087252,336.23707148639943,199.44581115857997,3.2790074441687342,179.67295285359802,156.69255583126548,4.37952857756713,379.22417028190677,211.5075180329951
2023-06-01,4.19791277258567,364.928660436137,205.77658878504675,3.2799999999999994,180.06666666666666,157.7,4.332526181353767,402.495632183908,215.80986973180083
2023-07-01,4.229147900182593,369.96192736863463,205.57461107729765,3.1935483870967736,179.42626728110596,160.57027649769586,4.36736392461272,403.5257363244015,213.4495578454422
