년도,월,지역,연료,차종,용도,등록수,순증가량
2020,02,전남,전기,화물,비사업용,3,2
2020,02,전남,전기,화물,사업용,0,0
2020,02,전북,전기,소계,계,1920,48
2020,02,전북,전기,소계,비사업용,1914,48
2020,02,전북,전기,소계,사업용,6,0
2020,02,전북,전기,승용,계,1868,17
2020,02,전북,전기,승용,비사업용,1864,17
2020,02,전북,전기,승용,사업용,4,0
2020,02,전북,전기,승합,계,6,0
2020,02,전북,전기,승합,비사업용,5,0
2020,02,전북,전기,승합,사업용,1,0
2020,02,전북,전기,특수,계,0,0
2020,02,전북,전기,특수,비사업용,0,0
2020,02,전북,전기,특수,사업용,0,0
2020,02,전북,전기,화물,계,46,31
2020,02,전북,전기,화물,비사업용,45,31
2020,02,전북,전기,화물,사업용,1,0
2020,02,제주,전기,소계,계,18684,377
2020,02,제주,전기,소계,비사업용,15340,434
2020,02,제주,전기,소계,사업용,3344,-57
2020,02,제주,전기,승용,계,18133,68
2020,02,제주,전기,승용,비사업용,14923,137
2020,02,제주,전기,승용,사업용,3210,-69
2020,02,제주,전기,승합,계,118,0
2020,02,제주,전기,승합,비사업용,0,0
2020,02,제주,전기,승합,사업용,118,0
2020,02,제주,전기,특수,계,1,0
2020,02,제주,전기,특수,비사업용,1,0
2020,02,제주,전기,특수,사업용,0,0
2020,02,제주,전기,화물,계,432,309
2020,02,제주,전기,화물,비사업용,416,297
2020,02,제주,전기,화물,사업용,16,12
2020,02,충남,전기,소계,계,2928,80
2020,02,충남,전기,소계,비사업용,2894,78
2020,02,충남,전기,소계,사업용,34,2
2020,02,충남,전기,승용,계,2882,57
2020,02,충남,전기,승용,비사업용,2868,56
2020,02,충남,전기,승용,사업용,14,1
2020,02,충남,전기,승합,계,19,0
2020,02,충남,전기,승합,비사업용,0,0
2020,02,충남,전기,승합,사업용,19,0
2020,02,충남,전기,특수,계,2,0
2020,02,충남,전기,특수,비사업용,2,0
2020,02,충남,전기,특수,사업용,0,0
2020,02,충남,전기,화물,계,25,23
2020,02,충남,전기,화물,비사업용,24,22
2020,02,충남,전기,화물,사업용,1,1
2020,02,충북,전기,소계,계,2457,30
2020,02,충북,전기,소계,비사업용,2415,30
2020,02,충북,전기,소계,사업용,42,0
2020,02,충북,전기,승용,계,2416,22
2020,02,충북,전기,승용,비사업용,2397,22
2020,02,충북,전기,승용,사업용,19,0
2020,02,충북,전기,승합,계,23,0
2020,02,충북,전기,승합,비사업용,0,0
2020,02,충북,전기,승합,사업용,23,0
2020,02,충북,전기,특수,계,0,0
2020,02,충북,전기,특수,비사업용,0,0
2020,02,충북,전기,특수,사업용,0,0
2020,02,충북,전기,화물,계,18,8
2020,02,충북,전기,화물,비사업용,18,8
2020,02,충북,전기,화물,사업용,0,0
2020,03,강원,전기,소계,계,2640,181
2020,03,강원,전기,소계,비사업용,2485,170
2020,03,강원,전기,소계,사업용,155,11
2020,03,강원,전기,승용,계,2590,158
2020,03,강원,전기,승용,비사업용,2455,148
2020,03,강원,전기,승용,사업용,135,10
2020,03,강원,전기,승합,계,20,0
2020,03,강원,전기,승합,비사업용,1,0
2020,03,강원,전기,승합,사업용,19,0
2020,03,강원,전기,특수,계,0,0
2020,03,강원,전기,특수,비사업용,0,0
2020,03,강원,전기,특수,사업용,0,0
2020,03,강원,전기,화물,계,30,23
2020,03,강원,전기,화물,비사업용,29,22
2020,03,강원,전기,화물,사업용,1,1
2020,03,경기,전기,소계,계,14100,1590
2020,03,경기,전기,소계,비사업용,13472,1466
2020,03,경기,전기,소계,사업용,628,124
2020,03,경기,전기,승용,계,13406,1399
2020,03,경기,전기,승용,비사업용,13132,1328
2020,03,경기,전기,승용,사업용,274,71
2020,03,경기,전기,승합,계,283,8
2020,03,경기,전기,승합,비사업용,11,0
2020,03,경기,전기,승합,사업용,272,8
2020,03,경기,전기,특수,계,14,2
2020,03,경기,전기,특수,비사업용,14,2
2020,03,경기,전기,특수,사업용,0,0
2020,03,경기,전기,화물,계,397,181
2020,03,경기,전기,화물,비사업용,315,136
2020,03,경기,전기,화물,사업용,82,45
2020,03,경남,전기,소계,계,4295,473
2020,03,경남,전기,소계,비사업용,4079,447
2020,03,경남,전기,소계,사업용,216,26
2020,03,경남,전기,승용,계,4123,412
2020,03,경남,전기,승용,비사업용,3988,393
2020,03,경남,전기,승용,사업용,135,19
2020,03,경남,전기,승합,계,76,3
2020,03,경남,전기,승합,비사업용,0,0
2020,03,경남,전기,승합,사업용,76,3
2020,03,경남,전기,특수,계,3,0
2020,03,경남,전기,특수,비사업용,3,0
2020,03,경남,전기,특수,사업용,0,0
2020,03,경남,전기,화물,계,93,58
2020,03,경남,전기,화물,비사업용,88,54
2020,03,경남,전기,화물,사업용,5,4
2020,03,경북,전기,소계,계,4441,280
2020,03,경북,전기,소계,비사업용,4347,275
2020,03,경북,전기,소계,사업용,94,5
2020,03,경북,전기,승용,계,4308,207
2020,03,경북,전기,승용,비사업용,4223,204
2020,03,경북,전기,승용,사업용,85,3
2020,03,경북,전기,승합,계,6,0
2020,03,경북,전기,승합,비사업용,2,0
2020,03,경북,전기,승합,사업용,4,0
2020,03,경북,전기,특수,계,2,2
2020,03,경북,전기,특수,비사업용,2,2
2020,03,경북,전기,특수,사업용,0,0
2020,03,경북,전기,화물,계,125,71
2020,03,경북,전기,화물,비사업용,120,69
2020,03,경북,전기,화물,사업용,5,2
2020,03,광주,전기,소계,계,2660,171
2020,03,광주,전기,소계,비사업용,2534,161
2020,03,광주,전기,소계,사업용,126,10
2020,03,광주,전기,승용,계,2562,121
2020,03,광주,전기,승용,비사업용,2468,125
2020,03,광주,전기,승용,사업용,94,-4
2020,03,광주,전기,승합,계,11,0
2020,03,광주,전기,승합,비사업용,1,0
2020,03,광주,전기,승합,사업용,10,0
2020,03,광주,전기,특수,계,0,0
2020,03,광주,전기,특수,비사업용,0,0
2020,03,광주,전기,특수,사업용,0,0
2020,03,광주,전기,화물,계,87,50
2020,03,광주,전기,화물,비사업용,65,36
2020,03,광주,전기,화물,사업용,22,14
2020,03,대구,전기,소계,계,11641,366
2020,03,대구,전기,소계,비사업용,9530,294
2020,03,대구,전기,소계,사업용,2111,72
2020,03,대구,전기,승용,계,10954,193
2020,03,대구,전기,승용,비사업용,8876,131
2020,03,대구,전기,승용,사업용,2078,62
2020,03,대구,전기,승합,계,10,0
2020,03,대구,전기,승합,비사업용,0,0
2020,03,대구,전기,승합,사업용,10,0
2020,03,대구,전기,특수,계,0,0
2020,03,대구,전기,특수,비사업용,0,0
2020,03,대구,전기,특수,사업용,0,0
2020,03,대구,전기,화물,계,677,173
2020,03,대구,전기,화물,비사업용,654,163
2020,03,대구,전기,화물,사업용,23,10
