지역,년,월,미세먼지2.5 수치,미세먼지10 수치
충북,2021,4,18.0,41.0
충남,2021,4,20.0,46.0
전북,2021,4,19.0,43.0
전남,2021,4,14.0,34.0
경북,2021,4,16.0,42.0
경남,2021,4,15.0,34.0
제주,2021,4,14.0,36.0
전국,2021,5,19.0,52.0
서울,2021,5,20.0,61.0
부산,2021,5,16.0,36.0
대구,2021,5,18.0,41.0
인천,2021,5,20.0,59.0
광주,2021,5,20.0,50.0
대전,2021,5,18.0,56.0
울산,2021,5,17.0,35.0
세종,2021,5,16.0,61.0
경기,2021,5,21.0,64.0
강원,2021,5,15.0,47.0
충북,2021,5,20.0,53.0
충남,2021,5,22.0,63.0
전북,2021,5,21.0,56.0
전남,2021,5,16.0,46.0
경북,2021,5,17.0,43.0
경남,2021,5,15.0,36.0
제주,2021,5,16.0,42.0
전국,2021,6,19.0,32.0
서울,2021,6,19.0,33.0
부산,2021,6,15.0,26.0
대구,2021,6,20.0,35.0
인천,2021,6,23.0,36.0
광주,2021,6,18.0,29.0
대전,2021,6,18.0,31.0
울산,2021,6,17.0,28.0
세종,2021,6,16.0,31.0
경기,2021,6,21.0,37.0
강원,2021,6,14.0,24.0
충북,2021,6,19.0,32.0
충남,2021,6,20.0,34.0
전북,2021,6,22.0,36.0
전남,2021,6,15.0,27.0
경북,2021,6,18.0,31.0
경남,2021,6,16.0,27.0
제주,2021,6,13.0,25.0
전국,2021,7,12.0,22.0
서울,2021,7,15.0,24.0
부산,2021,7,9.0,18.0
대구,2021,7,10.0,19.0
인천,2021,7,19.0,29.0
광주,2021,7,10.0,16.0
대전,2021,7,9.0,16.0
울산,2021,7,10.0,17.0
세종,2021,7,9.0,20.0
경기,2021,7,15.0,26.0
강원,2021,7,10.0,18.0
충북,2021,7,10.0,19.0
충남,2021,7,13.0,23.0
전북,2021,7,12.0,20.0
전남,2021,7,10.0,19.0
경북,2021,7,12.0,21.0
경남,2021,7,12.0,20.0
제주,2021,7,8.0,19.0
전국,2021,8,11.0,21.0
서울,2021,8,13.0,22.0
부산,2021,8,10.0,19.0
대구,2021,8,11.0,21.0
인천,2021,8,13.0,22.0
광주,2021,8,10.0,17.0
대전,2021,8,11.0,18.0
울산,2021,8,11.0,20.0
세종,2021,8,9.0,21.0
경기,2021,8,13.0,25.0
강원,2021,8,10.0,19.0
충북,2021,8,11.0,21.0
충남,2021,8,13.0,23.0
전북,2021,8,11.0,20.0
전남,2021,8,10.0,20.0
경북,2021,8,11.0,23.0
경남,2021,8,11.0,20.0
제주,2021,8,7.0,17.0
전국,2021,9,8.0,17.0
서울,2021,9,7.0,15.0
부산,2021,9,8.0,17.0
대구,2021,9,9.0,18.0
인천,2021,9,8.0,16.0
광주,2021,9,8.0,15.0
대전,2021,9,8.0,15.0
울산,2021,9,8.0,16.0
세종,2021,9,7.0,16.0
경기,2021,9,8.0,17.0
강원,2021,9,6.0,13.0
충북,2021,9,8.0,16.0
충남,2021,9,9.0,18.0
전북,2021,9,9.0,18.0
전남,2021,9,9.0,17.0
경북,2021,9,9.0,18.0
경남,2021,9,9.0,17.0
제주,2021,9,8.0,20.0
전국,2021,10,14.0,27.0
서울,2021,10,13.0,27.0
부산,2021,10,12.0,23.0
대구,2021,10,15.0,26.0
인천,2021,10,14.0,28.0
광주,2021,10,15.0,25.0
대전,2021,10,15.0,27.0
울산,2021,10,12.0,22.0
세종,2021,10,15.0,29.0
경기,2021,10,15.0,31.0
강원,2021,10,10.0,19.0
충북,2021,10,18.0,30.0
충남,2021,10,16.0,32.0
전북,2021,10,16.0,31.0
전남,2021,10,13.0,24.0
경북,2021,10,14.0,25.0
경남,2021,10,13.0,23.0
제주,2021,10,11.0,24.0
전국,2021,11,23.0,40.0
서울,2021,11,26.0,45.0
부산,2021,11,18.0,34.0
대구,2021,11,22.0,40.0
인천,2021,11,25.0,44.0
광주,2021,11,21.0,34.0
대전,2021,11,19.0,38.0
울산,2021,11,17.0,32.0
세종,2021,11,24.0,44.0
경기,2021,11,27.0,48.0
강원,2021,11,20.0,34.0
충북,2021,11,27.0,44.0
충남,2021,11,24.0,43.0
전북,2021,11,22.0,40.0
전남,2021,11,17.0,33.0
경북,2021,11,21.0,37.0
경남,2021,11,18.0,31.0
제주,2021,11,17.0,36.0
전국,2021,12,22.0,36.0
서울,2021,12,23.0,39.0
부산,2021,12,19.0,31.0
대구,2021,12,22.0,38.0
인천,2021,12,24.0,39.0
광주,2021,12,23.0,34.0
대전,2021,12,21.0,40.0
울산,2021,12,17.0,29.0
세종,2021,12,26.0,43.0
경기,2021,12,25.0,41.0
강원,2021,12,18.0,30.0
충북,2021,12,25.0,40.0
충남,2021,12,26.0,42.0
전북,2021,12,23.0,38.0
전남,2021,12,18.0,31.0
경북,2021,12,20.0,34.0
경남,2021,12,17.0,28.0
제주,2021,12,15.0,28.0
전국,2022,1,26.0,39.0
서울,2022,1,29.0,43.0
부산,2022,1,21.0,31.0
대구,2022,1,24.0,37.0
인천,2022,1,28.0,42.0
광주,2022,1,23.0,32.0
대전,2022,1,25.0,45.0
울산,2022,1,18.0,29.0
세종,2022,1,30.0,47.0
경기,2022,1,31.0,46.0
강원,2022,1,24.0,36.0
충북,2022,1,30.0,44.0
충남,2022,1,30.0,45.0
전북,2022,1,27.0,39.0
전남,2022,1,21.0,31.0
경북,2022,1,22.0,34.0
경남,2022,1,20.0,29.0
제주,2022,1,15.0,25.0
전국,2022,2,23.0,37.0
서울,2022,2,26.0,40.0
부산,2022,2,19.0,30.0
대구,2022,2,21.0,35.0
인천,2022,2,24.0,38.0
광주,2022,2,24.0,34.0
대전,2022,2,24.0,40.0
울산,2022,2,18.0,29.0
세종,2022,2,27.0,43.0
경기,2022,2,27.0,42.0
강원,2022,2,22.0,34.0
충북,2022,2,26.0,41.0
충남,2022,2,27.0,43.0
전북,2022,2,26.0,39.0
전남,2022,2,20.0,32.0
경북,2022,2,21.0,34.0
경남,2022,2,18.0,28.0
제주,2022,2,18.0,29.0
전국,2022,3,22.0,42.0
서울,2022,3,21.0,41.0
부산,2022,3,21.0,38.0
대구,2022,3,22.0,42.0
인천,2022,3,22.0,42.0
광주,2022,3,21.0,38.0
대전,2022,3,24.0,44.0
울산,2022,3,20.0,39.0
세종,2022,3,24.0,46.0
경기,2022,3,24.0,46.0
강원,2022,3,20.0,37.0
충북,2022,3,26.0,46.0
충남,2022,3,25.0,46.0
전북,2022,3,23.0,43.0
전남,2022,3,17.0,35.0
경북,2022,3,22.0,43.0
경남,2022,3,18.0,34.0
제주,2022,3,19.0,40.0
전국,2022,4,19.0,39.0
서울,2022,4,22.0,45.0
부산,2022,4,16.0,32.0
대구,2022,4,17.0,36.0
인천,2022,4,22.0,44.0
광주,2022,4,17.0,34.0
대전,2022,4,18.0,39.0
울산,2022,4,16.0,34.0
세종,2022,4,17.0,40.0
경기,2022,4,22.0,47.0
강원,2022,4,17.0,36.0
충북,2022,4,20.0,40.0
충남,2022,4,21.0,44.0
전북,2022,4,21.0,41.0
전남,2022,4,15.0,31.0
경북,2022,4,16.0,36.0
경남,2022,4,14.0,29.0
제주,2022,4,16.0,31.0
전국,2022,5,17.0,33.0
서울,2022,5,17.0,33.0
부산,2022,5,17.0,31.0
대구,2022,5,17.0,33.0
인천,2022,5,16.0,32.0
광주,2022,5,16.0,29.0
대전,2022,5,15.0,31.0
울산,2022,5,19.0,34.0
세종,2022,5,14.0,31.0
경기,2022,5,17.0,35.0
강원,2022,5,15.0,29.0
충북,2022,5,18.0,34.0
충남,2022,5,17.0,34.0
전북,2022,5,17.0,34.0
전남,2022,5,15.0,29.0
경북,2022,5,16.0,33.0
경남,2022,5,16.0,29.0
제주,2022,5,14.0,29.0
전국,2022,6,12.0,22.0
서울,2022,6,12.0,22.0
부산,2022,6,10.0,19.0
대구,2022,6,12.0,22.0
인천,2022,6,12.0,21.0
광주,2022,6,12.0,20.0
대전,2022,6,10.0,21.0
울산,2022,6,12.0,21.0
세종,2022,6,10.0,22.0
경기,2022,6,13.0,23.0
강원,2022,6,10.0,20.0
충북,2022,6,14.0,23.0
충남,2022,6,11.0,22.0
전북,2022,6,13.0,23.0
전남,2022,6,11.0,20.0
경북,2022,6,12.0,23.0
경남,2022,6,11.0,19.0
제주,2022,6,10.0,21.0
전국,2022,7,13.0,22.0
서울,2022,7,16.0,25.0
부산,2022,7,12.0,20.0
대구,2022,7,12.0,20.0
인천,2022,7,18.0,26.0
광주,2022,7,12.0,18.0
대전,2022,7,12.0,20.0
울산,2022,7,12.0,21.0
세종,2022,7,12.0,24.0
경기,2022,7,15.0,25.0
강원,2022,7,9.0,18.0
충북,2022,7,14.0,23.0
충남,2022,7,14.0,25.0
전북,2022,7,15.0,23.0
전남,2022,7,11.0,20.0
경북,2022,7,12.0,20.0
경남,2022,7,12.0,21.0
제주,2022,7,11.0,20.0
전국,2022,8,10.0,19.0
서울,2022,8,11.0,20.0
부산,2022,8,10.0,19.0
대구,2022,8,9.0,18.0
인천,2022,8,11.0,21.0
광주,2022,8,9.0,16.0
대전,2022,8,8.0,15.0
울산,2022,8,14.0,23.0
세종,2022,8,8.0,18.0
경기,2022,8,10.0,20.0
강원,2022,8,8.0,16.0
충북,2022,8,11.0,17.0
충남,2022,8,9.0,19.0
전북,2022,8,9.0,18.0
전남,2022,8,8.0,17.0
경북,2022,8,10.0,18.0
경남,2022,8,10.0,19.0
제주,2022,8,8.0,18.0
전국,2022,9,11.0,22.0
서울,2022,9,11.0,22.0
부산,2022,9,10.0,20.0
대구,2022,9,9.0,20.0
인천,2022,9,14.0,26.0
광주,2022,9,12.0,21.0
대전,2022,9,10.0,19.0
울산,2022,9,12.0,24.0
세종,2022,9,10.0,21.0
경기,2022,9,12.0,24.0
강원,2022,9,7.0,16.0
충북,2022,9,12.0,20.0
충남,2022,9,13.0,25.0
전북,2022,9,14.0,25.0
전남,2022,9,11.0,21.0
경북,2022,9,10.0,21.0
경남,2022,9,10.0,20.0
제주,2022,9,14.0,28.0
전국,2022,10,14.0,26.0
서울,2022,10,14.0,25.0
부산,2022,10,11.0,21.0
대구,2022,10,12.0,24.0
인천,2022,10,17.0,30.0
광주,2022,10,14.0,25.0
대전,2022,10,14.0,24.0
울산,2022,10,12.0,25.0
세종,2022,10,15.0,28.0
경기,2022,10,16.0,29.0
강원,2022,10,9.0,17.0
충북,2022,10,16.0,26.0
충남,2022,10,18.0,33.0
전북,2022,10,18.0,31.0
전남,2022,10,11.0,21.0
경북,2022,10,13.0,24.0
경남,2022,10,12.0,21.0
제주,2022,10,12.0,26.0
전국,2022,11,23.0,39.0
서울,2022,11,22.0,39.0
부산,2022,11,19.0,33.0
