날짜,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2023-12-22,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-23,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-24,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-25,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-26,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-27,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-28,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-29,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-30,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2023-12-31,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2024-01-01,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
2024-01-02,4.2161904761904765,390.3809523809524,216.32857142857142,3.155555555555556,189.66666666666666,167.22222222222223,4.315625,409.1979166666667,220.93229166666666
