연도,월,시도,휘발유가격,디젤가격
2018,11,대구,1545.7,1389.63
2018,11,인천,1571.08,1422.15
2018,11,광주,1568.83,1412.1
2018,11,대전,1570.08,1420.19
2018,11,울산,1583.22,1417.11
2018,11,경기,1586.56,1431.19
2018,11,강원,1590.28,1436.78
2018,11,충북,1584.71,1430.86
2018,11,충남,1587.17,1428.17
2018,11,전북,1569.63,1411.87
2018,11,전남,1580.87,1421.21
2018,11,경북,1572.71,1410.04
2018,11,경남,1561.11,1406.21
2018,11,제주,1587.81,1466.27
2018,11,세종,1598.08,1441.97
2018,11,전국,1861.06,1424.66
2018,12,서울,1539.71,1420.04
2018,12,부산,1405.51,1294.65
2018,12,대구,1390.28,1289.0
2018,12,인천,1413.44,1308.29
2018,12,광주,1419.01,1316.03
2018,12,대전,1415.4,1311.88
2018,12,울산,1427.53,1312.47
2018,12,경기,1438.64,1327.63
2018,12,강원,1453.61,1344.78
2018,12,충북,1441.1,1331.54
2018,12,충남,1439.88,1329.9
2018,12,전북,1416.94,1308.45
2018,12,전남,1444.6,1333.73
2018,12,경북,1421.06,1310.79
2018,12,경남,1403.05,1298.96
2018,12,제주,1442.5,1350.93
2018,12,세종,1466.77,1358.48
2018,12,전국,1773.91,1324.11
