년,월,차종,주행거리,에너지소비효율,충전지용량
2023,1,승용,375.53598081014644,4.54085478167574,186.91301214409583
2023,1,화물,176.19387923904054,3.2608767576509505,153.95955334987593
2023,1,소계,334.36717216209195,4.3360966863814765,179.6247238063465
2023,2,승용,375.8677884615385,4.531139346764347,190.23435592185595
2023,2,화물,177.26666666666668,3.266666666666666,153.9
2023,2,소계,334.6172238969581,4.323772657871041,182.39786781114202
2023,3,승용,375.87726186597155,4.481111319982288,195.47392669457184
2023,3,화물,178.17088502894956,3.3008105872622004,153.1665012406948
2023,3,소계,334.7636403438739,4.291690066916263,186.40946115188652
2023,4,승용,377.7391713747646,4.404896421845575,209.05376647834277
2023,4,화물,178.8212454212454,3.2911355311355304,154.3047619047619
2023,4,소계,334.34610053531793,4.2254121948035,196.90009037733387
2023,5,승용,379.22417028190677,4.37952857756713,211.5075180329951
2023,5,화물,179.67295285359802,3.2790074441687342,156.69255583126548
2023,5,소계,336.23707148639943,4.200528112087252,199.44581115857997
2023,6,승용,402.495632183908,4.332526181353767,215.80986973180083
2023,6,화물,180.06666666666666,3.2799999999999994,157.7
2023,6,소계,364.928660436137,4.19791277258567,205.77658878504675
2023,7,승용,403.5257363244015,4.36736392461272,213.4495578454422
2023,7,화물,179.42626728110596,3.1935483870967736,160.57027649769586
2023,7,소계,369.96192736863463,4.229147900182593,205.57461107729765
2023,8,승용,397.975376367116,4.353492263085048,212.50774773903373
2023,8,화물,180.66666666666666,3.183333333333333,161.41666666666666
2023,8,소계,368.588880706922,4.2325184094256265,205.63866668250276
2023,9,승용,398.23928571428576,4.289678972712681,218.60178705189944
2023,9,화물,180.63333333333333,3.2316666666666665,159.55833333333334
2023,9,소계,371.03544414401154,4.17503878696911,211.3137235131263
2023,10,승용,402.82617624102994,4.248234624199121,221.6962672145735
2023,10,화물,180.6,3.28,157.7
2023,10,소계,380.1780818692997,4.149528168635153,215.1762328822406
2023,11,승용,412.2110615963557,4.256808278867103,226.9493929490988
2023,11,화물,180.61888888888888,3.277333333333333,157.8238888888889
2023,11,소계,390.86062288749395,4.166455550190461,220.57890310638984
2023,12,승용,409.02269722233433,4.309405321840473,221.59074220800193
2023,12,화물,188.56989247311827,3.161290322580645,166.4731182795699
2023,12,소계,389.34796904569595,4.207184811386437,216.65651248384034
2024,1,승용,409.8908007694835,4.29880254258174,221.8408075811928
2024,1,화물,182.27803379416284,3.073015873015873,170.98975934459807
2024,1,소계,393.15644863018804,4.212191699103695,218.07611816026122
2024,2,승용,409.8956030358027,4.297859264147831,220.42453803002803
2024,2,화물,180.85714285714286,3.0571428571428574,171.71428571428572
2024,2,소계,390.6636745340922,4.230659245619909,216.1737452572257
2024,3,승용,410.53358480433945,4.407033555374054,215.16183424962858
2024,3,화물,179.4626216077829,2.962032770097286,173.24372759856632
2024,3,소계,388.28127794037243,4.302555398321166,210.97939265536723
2024,4,승용,414.14761904761906,4.463525396825398,213.21480952380952
2024,4,화물,182.20468975468975,2.841948051948052,178.1594227994228
2024,4,소계,388.26199858757064,4.3179413841807905,209.05270903954803
2024,5,승용,411.3338217284262,4.507776339877533,207.8701112934789
2024,5,화물,203.57603686635946,2.836712749615975,170.26789554531487
2024,5,소계,385.2170661028089,4.335760627103679,203.02713350350862
2024,6,승용,399.72651876882907,4.603308288961162,200.06424037945078
2024,6,화물,203.2717948717949,2.812478632478632,169.9333333333333
2024,6,소계,369.2189774006001,4.374446450154206,195.31283516044914
2024,7,승용,396.45715506550346,4.630383337104801,194.6446018403923
2024,7,화물,202.77454803261256,2.834810350939383,169.5143093465674
2024,7,소계,365.2718321189489,4.4008170027003555,190.27061175570572
2024,8,승용,400.5740329547661,4.596658842473431,187.49366939789329
2024,8,화물,203.28571428571428,2.857142857142857,169.16923076923075
2024,8,소계,370.50181256383354,4.394767328780024,183.98927028029144
2024,9,승용,410.58049155145926,4.5174798387096775,185.73357165091917
2024,9,화물,203.28571428571428,2.857142857142857,169.16923076923075
2024,9,소계,382.9958035714286,4.350445684523809,182.88472951212083
2024,10,승용,414.4659796907953,4.516021847360067,182.43498181623585
2024,10,화물,206.05069124423963,2.871428571428571,167.49057071960297
2024,10,소계,386.7516573692296,4.35040969358881,179.83183907742148
2024,11,승용,407.2574802702549,4.554269665679987,173.50990965879512
2024,11,화물,209.25641025641025,2.887555555555555,165.5411111111111
2024,11,소계,378.7285032715376,4.371027727291087,171.66763565185082
2024,12,승용,408.8108413935847,4.521297805370919,174.55365448346566
2024,12,화물,212.84615384615384,2.8999999999999995,163.31666666666663
2024,12,소계,384.9152863117693,4.3773936967349,172.59959098403567
