"구분(1)",구분(2),2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"강원특별자치도",정선,,,,49,44,48,32,39,26,27,26,20,29,37,41,36,40,39,42,33,39,12**,12,15,26,33,37,42,43,56,40,52,26,19,19,14,17,35,35,41,39,42,38,33,23,18,17,15,16,31,37,43,42,59,70,34,22,14,9,16,23,28,32,29,21,46,51,23,24,14,14,11,16,21,29
"강원특별자치도",횡성,,,43,66,57,75,42,51,32,25,26,20,28,41,46,42,43,42,45,29,35,15,18,14,30,38,41,40,44,55,39,54,25,16,17,12,22,43,37,45,39,34**,37,30,21,17,15,15,16,33,36,39,42,57,53,32,23,18,16*,15**,23**,28**,33,36,25,46,46,25,24,13,14,10,15,22,32
"강원특별자치도",춘천,27,44,49,75,62,66,39,49,31,25,27,20,31,45,47,45,42,42,43,30,37,17,18,17*,31*,37,43*,40,43,55,41,55,26,20,20,13,21*,40,33,40,35,36*,37,29,20,19,17,20,21,32,35,39,38,57,55,35*,23,25*,18*,19*,23*,27*,32*,30*,23*,43*,47*,24**,29**,19**,20*,14*,15*,22*,27*
"강원특별자치도",강릉,17**,46,30,41,42,51,36,47,32,29,28,25,29*,,30,25,32,36,38,32,42,14**,17,27,31,32,30,32,39,55,45,50,28,21,20,15,21,32,26,29,27,42**,39,30,21,16,17,18,22,34,31,30,33,54,71,35,20,23,16,15,21,20,25,24,23,43,62,29,27,16,16,15,19,23,23
"강원특별자치도",원주,28*,54,51,73,65,70,44,52,35,31,30,21,28,38,40,39,36,38,38,27*,33*,17,23,18,31,38,42,39,43,53,39,53,29,22,22,15,23,41,35,43,38,40,41*,34*,24,25,20,20,17,38,38,44,45,63,60,40,31,29,25,21,26,32,34,36,27,48,51,30,33,26,32,24,25,30,38
"강원특별자치도",동해,25,38,31,41,43,49,38,45,30,26,25,19,25,30*,24,21,28,30,32,27,30,16,22,21,25,26**,25**,28,32,45,38,38,23,20,22,12,14,24*,,24**,27,48,36,29,22,20,19,14,12,29,24,30,32,56,82,42,26,30,21,17,19,18,22,20,21,35,56,24,24,17,17,17,18,17,16
"강원특별자치도",삼척,22,36,31,40,43,48,35,41,30,25,24,20,25,26,25,22,28,30,32,28,32,16,22,21,24,23,19,23,28,41,34,35,22,16,18,12,15,24,20,22,24,32,31,25,19,17,16,18,25,22,19,24,25,42,62,33,23,26,18,16,19,19,22,20,21,35,55,22,22,16,15,13,13,15,16
"강원특별자치도",평창,29,45,41,62,56,65,43,47,33,29,29,24,31,40,43,39,41,41,44,34,40,22,22,26,29,38,44,44,45,58,41,,,,,,,,37**,36,35,36,32,25,15,7,15*,13,12,40,44,41,38,50,51,24,10,17,17,17,25,31,35,35,27,47,45,24,23,14,14,11,14,21,28
"강원특별자치도",양양,,,,41,38,45,35,43,26,22,22,17,25,27,26,23,28,32,34,23,32,14,15,17,25,21**,26,27,33,46,35,38,17,14,15,10,15,26,22,26,28,32,32,25,16,13,13,19,14,24,22,26,30,47,61,34,19,19,13,13,17,16,22,19,18,32,48,21,21,13,11,11,12,16,20
"강원특별자치도",속초,,,,49*,46,53,43,48,29,25,28,25,32,31,31,25,32,37,41,33,40,22,22,26,32,41*,33**,32,32,53,40,41,22,18,20,13,15,25,21,24,25,34,36,28,19,16,16,16,19,23,20,30,34,56,72,42,27,29,22,21,27,22,28,26,26,42,70,34,32,23,23,23,22,22,22
"강원특별자치도",영월,,,,66,58,65,41,46,30,28,30,21,28,37,37,40,41,41,41,33,40,21,24,17,27,32,35,35,38,49,34,45,25,18,19,14,19,32,28,37,32,35,32,28,21,19,16,18,16,30,33,41,40,55,57,32,23,20,18,16,21,25,30,30,22,44,44,25,26,22,23,11,13,17,26
"강원특별자치도",철원,,,,67,51,62,39,49,27,26,20,20,29,39,40,36,34,41,44,32,38,19,19,18,30,39,43,36,43,58,41,54,29,22,20,15,24,40,35,36,38,38,43,35,22,21,19,14,16,34,35,44,44,62,59,37,27,27,20,21,25,30,33,35,27,45,47,27,31,21,22,16,18,26,31
"강원특별자치도",홍천,,,,,59,64,33,38,21,17,23,20,29,43,51,50,47,48,48,32,37,18,19,21,34,35**,49,45,47,54,40,51,25,,20*,14,20,38,38,50,43,40,36,29,19,16,15,14,15,33,41,44,44,60,54,33,23,20,15,18,25,34,37,38,27,42,47,24,27,16,14,12,17,25,35
"강원특별자치도",화천,,,,,46,56,35,40,25,23,24,19,23,30,33,32,34,35,36,24,29,15,16,14,25,24**,33,34,39,47,34,40,21,17,17,12,18,35,32,39,38,37,38,29,19,18,17,11,12,29,35,42,39,59,53,35,23,24,16,18,23,28,35,37,27,43,48,23,26,18,18,13,15,21,26
"강원특별자치도",태백,,,,,41,50,36,42,28,31,31,25,31,38,36,33,34,36,40,32,35,13**,14,15,23,25,26,29,32,46,35,37,21,13,13,8,13,27,23,24,28,36,32,27,17,13,11,14,19,25,22,29,30,51,60,28,17,11,7,13,20,20,27,23,20,43,52,23,24,13,14,13,14,18,23
"강원특별자치도",인제,,,,,,,32*,43,25,22,24,15,21,28,31,27,30,29,34,24,31,13,14,13,23,27,32,33,36,45,36,48,21,17,18,11,15,30,28,32,33,32,33,27,18,15,14,14,13,26,31,34,35,49,55,33,20,21,13,15,19,21,23,28,20,38,43,21,26,16,15,11,13,17,25
"강원특별자치도",도평균,26,46,41,59,51,59,39,46,29,26,26,21,28,36,37,34,36,37,39,29,35,17,19,18,28,34*,36,35,39,51,38,47,24,18,19,13,19,34,30,36,34,37,36,29,20,18,16,16,17,31,32,37,37,55,60,35,23,23,18,17,22,25,30,29,24,42,51,26,27,18,19,15,17,22,27
"충청북도",괴산,,,,,57,63,36,41,30,20,27,20,32,47,40,38,36,40,41,29,32,17,19,20,32,39,43,40,43,57,38,49,32,19,20,16,26,42,38,40,37,42,35,30,23,22,17,18,23,42,37,44,45,63,67,33,27,22,21,20,25,29,34,33,27,46,48,28,29,18,20,16,20,25,30
"충청북도",음성,,,,,64,69,42,49,33,26,26,21,31,50,46,44,41,44,46,32,34,19,22,22,37,44,47,45,47,62,39,52,28,15,18,13,27,46,42,49,44,48,42,34,21,22,16,20,29,50,49,55,51,69,69,36,26,21,20,19,27,34,38,35,28,46,48,26,24,14,20,17,22,31,37
"충청북도",청주,38,68,52,71,67,70,45,53,38,25,26,24,34,47,47,48,45,45,44,36,37,20,22,25,41,45,47,46,51,69,44,59,35,17,20,18,35,49,43,48,43,49,42,34,23,23,16,21,30,47,39,48,54,73,72,37*,28,23,22,21,33,33,42,41,35,48,51,31,28,15,20,16,24,30,36
